statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,noir,pas de résultat postés ni publiés,NCT00213486,,,2004,Weekly Cisplatin/Irinotecan and Radiotherapy in Patients With Locally Advanced Esophageal Cancer: Phase II Trial,,False,False,False,DRUG
🟥,rouge,résultat postés ou publiés,NCT00120588,,,2005,Effect of Magnesium Sulfate on the Incidence of Periventricular Leukomalacia in the Very Preterm Neonate,,False,False,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT00213434,,,2006,Prospective Evaluation of Mandibular Advancement by Herbst Device in the Treatment of Moderate Obstructive Sleep Apnea Syndrome,,False,False,False,DEVICE
🟥,rouge,résultat postés ou publiés,NCT00234234,,,2008,Predictors of the Response to Adalimumab in Rheumatoid Arthritis,,False,False,True,DRUG
🟥,rouge,résultat postés ou publiés,NCT00213499,,,2008,Randomized Prospective Multicenter Study of Non Invasive Ventilation Assessment for Weaning From Mechanical Ventilation in Patients With Chronic Respiratory Failure. NIV and Weaning (VENISE)Trial.,VENISE,False,False,True,PROCEDURE
🟥,rouge,résultat postés ou publiés,NCT00213551,,,2008,Comparative Effects of Glutamine and Glucose on Intestinal Protein Metabolism in Healthy Humans,,False,False,True,DRUG
🟥,rouge,résultat postés ou publiés,NCT00213512,,,2008,Traitment of Patients Presenting Pemphigus With Anti CD20 (Mabthera).,,False,False,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT02170454,,,2009,Effect of Pharyngeal Cortical Area Inhibition Induced by rTMS on Swallowing Function in Healthy Subject: Video Fluoroscopic Study.,rTMSvideoSS,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT00263900,,,2010,Exploratory Study of the Use of the Quick Diagnostic Test of the Influenza and the Infection With RSV by the Paediatric Emergency Unit and Their Impact on the Assumption of Responsibility of the Suspect Children of a Viral Infection,,False,False,False,DEVICE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT00389116,,,2010,Value of CT-Scan and Oral Gastrografin in the Management of Post Operative Small Bowel Obstruction,,False,True,True,DRUG
🟥,rouge,résultat postés ou publiés,NCT00977223,,,2010,Pilot Study of the Action of the Substance P Antagonist Aprepitant on Aldosterone and Cortisol Secretion in Healthy Volunteers.,APHOS,False,False,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT01345890,,,2010,Neuromodulation in Post Stroke Dysphagia,,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT00213629,,,2010,Transcriptome Analysis Through a Dedicated Macro-array and TcLandscape Repertoire Analysis for Diagnosis of Myositis.,MYOARRAY,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT00213616,,,2011,Bilateral Laryngeal Paralysis Reinnervation. Speech and Ventilatory Results Analysis,,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT01016925,,,2011,Bacterial Colonization After Tunneling in Femoral Perineural Catheters,Tunnelized KT,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT00977652,,,2011,Short Term Efficacy of Percutaneous Tibial Nerve Stimulation for the Treatment of Fecal Incontinence:Randomized Controlled Study,TENSIA,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT01081444,,,2011,Effect of Pharyngeal Inhibition Induced by Repetitive Transcranial Stimulation in Post Stroke Dysphagia,rTMS AVC,False,False,False,DEVICE
