statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,bleu,pas de résultat ni de publication,NCT00221754,,,2004,Pravastatin in HIV-Infected Patients Treated With Highly Active Antiretroviral Therapy,,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00221624,,,2004,Randomized Placebo-Controlled Trial of a Triple Therapy Combining Peginterferon Alfa-2a Plus Ribavirin Plus Amantadine Versus Peginterferon Alfa-2a Plus Ribavirin Plus Placebo in Hepatitis C-Infected Patients Non Responders to a First-Line Therapy of Interferon and Ribavirin,PEGARI,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00221650,,,2004,Efficacy and Safety of Peginterferon alfa2a and Ribavirin for the Second Line Treatment of Chronic Hepatitis C in HIV Infected Patients Previously Non Responders to a First Anti-HCV Treatment,ROCO2,False,False,False,DRUG
🟥,rouge,résultat et / ou publication posté,NCT03181802,,,2005,Are Paraspinous Intramuscular Injections of Botulinum Toxin A (BoNT-A) Efficient in the Treatment of Chronic Low-back Pain?,BoNT-A,False,False,True,DRUG
🟥,rouge,résultat et / ou publication posté,NCT00273663,,,2006,The Effects of Transcranial Electrical Stimulation (TCES) on Cerebral Blood Flow (CBF) With Xenon Under Computerized Tomography (Xe/CT),,False,False,True,DEVICE
⬛,bleu,pas de résultat ni de publication,NCT00221793,,,2006,Study of Ponderal Load in Parkinsonian Patients After Deep Brain Stimulation of the Subthalamic Nucleus,,False,False,False,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00454259,,,2007,"Fentanyl Ultra Low Doses Effects on Human Volunteer's Nociceptive Threshold. Towards a Simple Pharmacological Test Able to Predict Pain Vulnerability, Post Operative Hyperalgesia Development Risk?",FENTANULD,False,False,False,DRUG
🟥,rouge,résultat et / ou publication posté,NCT00539916,,,2008,Effects of Regular and Consequent Citrus Fruit Consumption on Vascular Protection Specific Role of the Component Phytomicronutrients,AGRUVASC,False,False,True,BEHAVIORAL
🟥,rouge,résultat et / ou publication posté,NCT00438035,,,2008,Evaluation of Postoperative Pain by Spectral Analysis of ECG R-R Intervals,ECG-Spectral,False,False,True,PROCEDURE
🟥,rouge,résultat et / ou publication posté,NCT00413257,,,2008,Study of the Effects of Nefopam on Hyperalgesia Following Sternotomy in Cardiac Surgery,NefalCard,False,False,True,DRUG
🟥,rouge,résultat et / ou publication posté,NCT00808730,,,2009,Role of Mitochondria in Human Bronchial Smooth Muscle Remodeling in Non Severe Asthma,MITASTHME,False,False,True,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00838266,,,2009,"A Double Blind Randomized, Placebo-controlled, Cross-over Trial to Evaluate the Efficiency of a Mouthrinse, Containing Red Grape Seed Extract and nicométhanol Fluorhydrate, in the Control of Dental Plaque Deposit in a 4-days Plaque Regrowth Model",Bain de bouche,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00461955,,,2009,Pilot Clinical Trial of Injection of ex Vivo Amplified G-CSF Mobilised Autologous Peripheral Blood Stem Cell Transplantation in Adult Patients With Multiple Myeloma in First Response,Expansion,False,False,False,PROCEDURE
🟥,rouge,résultat et / ou publication posté,NCT00556738,,,2009,Intrapulmonary Percussive Ventilation and Nasal Continuous Positive Airway Pressure Ventilation in Transient Respiratory Distress of the Newborn: A Randomized Controlled Trial,HFPV,False,False,True,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00882297,,,2009,Subclavian Vein Ultrasound Guided Cannulation in Adult: Transversal and Longitudinal Approach Comparison,CATETEL,False,False,False,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00304850,,,2009,Efficacy of a Polyamine-free Diet Associated or Not With Ketamine on Early and Late Hyperalgesia After Breast Cancer Surgery,PoLyDOL,False,False,False,BEHAVIORAL
⬛,bleu,pas de résultat ni de publication,NCT00560456,,,2009,Chronic Sleep Restriction and Driving in Healthy Subjects or Snorers : Interindividual Vulnerability and Recovery Factors,PRIVASOM,False,False,False,OTHER
⬛,bleu,pas de résultat ni de publication,NCT00534690,,,2009,"Lowering VT and Increasing PEP During One-Lung Ventilation (OLV), Impact on Oxygenation",REVOLU,False,False,False,PROCEDURE
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT00241228,,,2010,Impact of High-volume Veno-venous Continuous Hemofiltration in the Early Management of Septic Shock Patients With Acute Renal Failure,IVOIRE,False,True,True,DEVICE
⬛,bleu,pas de résultat ni de publication,NCT00825422,,,2010,Assessment of Efficacy and Safety of Continuous Wound Infiltration With Local Anesthesics Through a Parietal Paravertebral Catheter for Postoperative Analgesia After Posterior Lumbar Arthrodesis,ICALP,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00926432,,,2010,"3D Evaluation of Postural Balance of the Adult Affected by Postural Trouble, Using EOS™ Images and 3D-reconstructions With Regard to Gravity Line.",POSTURADULT,False,False,False,DEVICE
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT00221702,,,2010,"Randomized, Multicenter Phase III Trial Comparing Adjuvant Treatment With PegIntron Over 36 Months Versus Reference Treatment With IntronA Over 18 Months in Cutaneous Melanoma Patients AJCC Stage II (>=1.5 mm Clinically Node Negative)",EADO,False,True,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00479934,,,2010,Phase II Randomized Double Blind Clinical Trial of'Imatinib Mesylate STI571 (Glivec®) Versus Placebo in Patients With Severe Cutaneous Scleroderma or Systemic Sclerosis With Severe Cutaneous Involvement.,SCLEROGLIVEC,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00221767,,,2010,Prospective Comparative Multicenter Study on the Medico-economical Impact of the Brindley Technique in the Management of Neurogenic Bladder in Patients With Injured Spinal Cord,BRINDLEY,False,False,False,DEVICE
🟥,rouge,résultat et / ou publication posté,NCT00486577,,,2010,Chronic Electrical Stimulation of the Auditory Cortex for Intractable Tinnitus,ACOUSCO,False,False,True,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00506870,,,2010,Economic and Medical Evaluation of Self-monitoring of Anticoagulation in a Population of Patients Recently Fitted With a Mechanical Heart Valve Compared to Conventional Anticoagulation Follow-up,4A,False,False,False,DEVICE
⬛,bleu,pas de résultat ni de publication,NCT00337051,,,2010,Sevoflurane-induced Prevention of Ischemia-reperfusion Lesions in Renal Allograft Transplants Recipients,SévoRein,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT01223157,,,2010,Saliva and Plasma Endocannabinoids Concentrations According to Feeding Status and Body Mass Index,SALIVENDO,False,False,False,BIOLOGICAL
🟥,rouge,résultat et / ou publication posté,NCT00607854,,,2011,Safety and Efficacy of Ibritumomab Tiuxetan (Zevalin®) in Association With a Fludarabine Based Reduced Conditioning Regimen and Allogenic Stem Cell Support in Chemo-sensitive Relapsed CD20 Positive Aggressive Non-Hodgkin's Lymphoma Patients.,ZEVALLO,False,False,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00741949,,,2011,Fiberoptic Bronchoscopy With Broncho-alveolar Lavage Under Noninvasive Ventilation With Propofol Target Controled Infusion in Patient With Acute Hypoxemic Respiratory Failure. A Randomized Controlled Study : SEDA-FIBRO.,SEDA-FIBRO,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT01223144,,,2011,Decision-making and Emotion Recognition in Essential Tremor,EMOTREM,False,False,False,BEHAVIORAL
⬛,bleu,pas de résultat ni de publication,NCT01043198,,,2011,Phenotypic Characterization and Array CGH Analysis in Patients With Syndromic Obesity of Unknown Etiology,REMOB,False,False,False,GENETIC
🟥,rouge,résultat et / ou publication posté,NCT00949806,,,2011,"Phase II Non Comparative, Open Study to Assess the Efficacy and Safety of the Botulinum Toxin Type A in Patients With Restless Legs Syndrome (RLS)",SOXIS,False,False,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00624728,,,2011,Assessment of 18Fluoro-thymidine PET-CT for the Volume Definition of High-grade Gliomas (GLIO-TEP) : Correlation With Histopathology,GLIO-TEP,False,False,False,RADIATION
⬛,bleu,pas de résultat ni de publication,NCT00804804,,,2011,"Aging,Sleep and Cognitive Process",SOMVIE,False,False,False,OTHER
