statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,noir,pas de résultat ni de publication,NCT00934986,,,2010,Study of Natural Killer Cells Function in Untreated Patients With Chronic Lymphocytic Leukemia,LLC-NK,False,False,False,OTHER
⬛,noir,pas de résultat ni de publication,NCT00908869,,,2011,"Combination of Continuous Low Doses of Vinorelbine, Cyclophosphamide and Interferon Alpha 2b for Antiangiogenic/Antivascular Effect in Adult Advanced Neoplasm",METRO1,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT00925418,,,2011,Randomized Trial Evaluating the Cryotherapy in the Prevention of Nails Toxicity Induced by Taxotere® in Patient Treated for Breast or Prostate Cancer.,CRYO1,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT00930085,,,2011,Evaluation of Predictive Proteic Profile on Mortality in the Acute Phase of Septic Shock in Cancer Patients,PROTEOHSEPS,False,False,False,OTHER
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT00918853,,,2012,Prospective Evaluation of the Resection Margins and the Ganglionic Status Using a Quality Standard Resection for Adenocarcinoma of the Head of the Pancreas.,MRP,False,True,True,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT00930410,,,2012,Intra-ductal Confocal Endomicroscopy for Characterization of Pancreas and Bile Duct Tumor,EMID,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT00894049,,,2013,A Multicenter Prospective Randomized Study Comparing Non Myeloablative (Flu-TBI) and Reduced Intensity (FLU-BU-ATG) Conditioning in Allogenic Transplantation,ITAC02-01,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT01521702,,,2015,Adjuvant Gemcitabine Versus NEOadjuvant Gemcitabine/Oxaliplatin Plus Adjuvant Gemcitabine in Resectable PAncreatic Cancer: a Randomized Multicenter Phase III Study,NEOPAC,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT02525250,,,2015,Pilot Study Immunomonitoring NK Cells in Patients With Myeloid Malignancies,,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT02487836,,,2015,Phase II Trial Evaluating the Efficacy of Laying a Biliary Stent for Producing a Heavy Chemotherapy in Unresectable Pancreatic Adenocarcinomas,PROPAC,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT01819558,,,2015,Etude Phase I/II d'immunothérapie Par protéine recWT1-A10+AS01B après Greffe allogénique de Cellules Souches,ALLO-WT1,False,False,False,BIOLOGICAL
⬛,noir,pas de résultat ni de publication,NCT02174887,,,2016,"A Unicentric, Open Label, Mechanism of Action Trial, on the Biological Effect of Nab-paclitaxel Combined to Gemcitabine, in Patients With Metastatic Pancreatic Adenocarcinoma",MOAnab1,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT01499537,,,2016,Prospective Randomized Study of PTC and EUS-guided Drainage of the Bile Duct in Patients With Malignant or Post-operative Jaundice After Failure or Impossibility to Perform Endoscopic Retrograde Cholangiography,,False,False,False,DEVICE
