statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,noir,pas de résultat postés ni publiés,NCT02822911,,,2016,Benefit of Carbohydrate Deficient Transferrin to Detect Chronic Alcohol Abuse in the Elderly. A French Multicentered Prospective Interventional Study.,Caesar,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT02822209,,,2017,"Evaluation of the Impact of a Coordinating Nurse in a Personalized Care Program on Quality of Care, Coordination of the Actors and on Quality of Life for Patients With Lung Cancer. A French Randomized Monocentric Prospective Study",EVIDEC,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT02821637,,,2017,Impact of an Effort Rehabilitation Program for Overweight or Obese Children and Teens on Quality of Life and Wellbeing: A French Monocentric Prospective Study,PRESEVAL,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT02946372,,,2017,Transposition of Internal Limiting Membrane in the Treatment of Macular Holes. A Descriptive Pilot Study,ILMT,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT03177096,,,2017,Impact of the Continuous Measurement of Blood Glucose on Insulin Pump on Child Quality of Life With Type 1 Diabetes. A French Monocentric Prospective Study (IM-CAPT),IM-CAPT,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT02970357,,,2017,Evaluation of the Impact of a Therapeutic Education Program for Children With Type 1 Diabetes. A French Monocentric Prospective Study. Pilot Study,PROGETE,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT03594851,,,2019,"Evaluation of the Benefits of Individualized Advice Administration on Quality of Sleep for the Elderly Living at Home Prospective, Monocentric and Open Study",CISPAD,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT05007249,,,2022,Benefit of the Chalaxie Pedagogical Tool in the Management of Overweight or Obese Children With Intellectual Disability : a Pilot Monocentric Prospective Study.,CHALAXIE,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT05373849,,,2023,Evaluation of the Efficacy of Aromatherapy on the Well-being of Hospital Healthcare Professionals: a Randomized Cross-over Trial,HERBAS,False,False,False,DIETARY_SUPPLEMENT
⬛,noir,pas de résultat postés ni publiés,NCT04529395,,,2023,Impact of Aromatherapy on the Delirium of Patients in Intensive Care Unit,AROMADELI,False,False,False,OTHER
